latitude,longitude,month,pvgis_poa
41.25,43.25,1,2.0630730050933788
41.25,43.25,2,3.001259398496241
41.25,43.25,3,4.330135823429542
41.25,43.25,4,4.738157894736842
41.25,43.25,5,5.3380984719864175
41.25,43.25,6,6.379561403508772
41.25,43.25,7,6.6966044142614605
41.25,43.25,8,6.32748726655348
41.25,43.25,9,5.242947368421053
41.25,43.25,10,3.6769439728353137
41.25,43.25,11,2.479473684210526
41.25,43.25,12,1.9003225806451611
41.25,43.5,1,1.8522750424448218
41.25,43.5,2,2.595958646616541
41.25,43.5,3,3.488658743633277
41.25,43.5,4,4.3556842105263165
41.25,43.5,5,5.042037351443124
41.25,43.5,6,5.806877192982456
41.25,43.5,7,5.953599320882852
41.25,43.5,8,5.699066213921902
41.25,43.5,9,4.729754385964912
41.25,43.5,10,3.3326485568760615
41.25,43.5,11,2.122140350877193
41.25,43.5,12,1.5432427843803056
41.25,43.75,1,1.5329202037351444
41.25,43.75,2,2.169135338345865
41.25,43.75,3,3.572665534804754
41.25,43.75,4,4.423473684210526
41.25,43.75,5,5.146044142614602
41.25,43.75,6,6.327473684210527
41.25,43.75,7,6.591833616298811
41.25,43.75,8,6.087843803056027
41.25,43.75,9,4.935859649122807
41.25,43.75,10,3.2751103565365023
41.25,43.75,11,2.065859649122807
41.25,43.75,12,1.362614601018676
41.25,44.0,1,2.0348217317487265
41.25,44.0,2,2.716898496240602
41.25,44.0,3,3.47088285229202
41.25,44.0,4,4.183929824561404
41.25,44.0,5,4.674702886247878
41.25,44.0,6,5.007105263157895
41.25,44.0,7,4.68018675721562
41.25,44.0,8,4.894719864176571
41.25,44.0,9,3.995438596491228
41.25,44.0,10,3.2331409168081495
41.25,44.0,11,2.3343508771929824
41.25,44.0,12,1.9210016977928692
41.25,44.25,1,1.848370118845501
41.25,44.25,2,2.5254135338345867
41.25,44.25,3,3.2561799660441424
41.25,44.25,4,3.949473684210526
41.25,44.25,5,4.7487436332767405
41.25,44.25,6,5.498140350877193
41.25,44.25,7,5.2800169779286925
41.25,44.25,8,5.172224108658744
41.25,44.25,9,4.043
41.25,44.25,10,2.940101867572156
41.25,44.25,11,2.1269649122807013
41.25,44.25,12,1.6991171477079796
41.25,44.5,1,1.779320882852292
41.25,44.5,2,2.533139097744361
41.25,44.5,3,3.155653650254669
41.25,44.5,4,3.933035087719298
41.25,44.5,5,4.7559083191850595
41.25,44.5,6,5.459298245614035
41.25,44.5,7,5.480050933786078
41.25,44.5,8,5.347894736842105
41.25,44.5,9,3.892140350877193
41.25,44.5,10,2.712207130730051
41.25,44.5,11,2.0337894736842106
41.25,44.5,12,1.6904584040747028
41.25,44.75,1,2.0242954159592528
41.25,44.75,2,2.7628195488721805
41.25,44.75,3,3.3858573853989813
41.25,44.75,4,4.169929824561404
41.25,44.75,5,5.033870967741935
41.25,44.75,6,5.877122807017543
41.25,44.75,7,5.904617996604414
41.25,44.75,8,5.606621392190154
41.25,44.75,9,4.215473684210527
41.25,44.75,10,2.9524108658743637
41.25,44.75,11,2.2132280701754388
41.25,44.75,12,1.9268590831918506
41.25,45.75,1,2.1032937181663836
41.25,45.75,2,2.7666917293233086
41.25,45.75,3,3.885806451612903
41.25,45.75,4,4.839368421052631
41.25,45.75,5,5.710254668930391
41.25,45.75,6,6.522157894736842
41.25,45.75,7,6.5283870967741935
41.25,45.75,8,6.108064516129032
41.25,45.75,9,4.758842105263158
41.25,45.75,10,3.3000169779286925
41.25,45.75,11,2.4123859649122807
41.25,45.75,12,1.9976570458404073
41.25,46.0,1,2.153684210526316
41.25,46.0,2,2.8654887218045113
41.25,46.0,3,3.9653989813242783
41.25,46.0,4,4.951859649122807
41.25,46.0,5,5.884753820033955
41.25,46.0,6,6.7072982456140355
41.25,46.0,7,6.6893039049236
41.25,46.0,8,6.244040747028863
41.25,46.0,9,4.929578947368421
41.25,46.0,10,3.4393378607809844
41.25,46.0,11,2.477421052631579
41.25,46.0,12,2.0403395585738537
41.25,46.25,1,1.9022580645161293
41.25,46.25,2,2.6019172932330825
41.25,46.25,3,3.716078098471986
41.25,46.25,4,4.8001929824561405
41.25,46.25,5,5.893378607809846
41.25,46.25,6,6.766280701754385
41.25,46.25,7,6.695568760611205
41.25,46.25,8,6.148421052631579
41.25,46.25,9,4.722684210526316
41.25,46.25,10,3.164346349745331
41.25,46.25,11,2.2097894736842103
41.25,46.25,12,1.7648217317487267
41.25,46.5,1,1.9509677419354838
41.25,46.5,2,2.6341353383458643
41.25,46.5,3,3.748760611205433
41.25,46.5,4,4.785035087719297
41.25,46.5,5,5.859575551782682
41.25,46.5,6,6.772561403508773
41.25,46.5,7,6.669728353140917
41.25,46.5,8,6.166502546689305
41.25,46.5,9,4.763877192982457
41.25,46.5,10,3.179151103565365
41.25,46.5,11,2.251315789473684
41.25,46.5,12,1.7913582342954157
41.5,41.75,1,0.9944651952461799
41.5,41.75,2,2.573984962406015
41.5,41.75,3,3.458590831918506
41.5,41.75,4,4.438666666666666
41.5,41.75,5,4.837147707979626
41.5,41.75,6,4.517719298245614
41.5,41.75,7,4.067894736842105
41.5,41.75,8,4.261358234295416
41.5,41.75,9,4.081157894736842
41.5,41.75,10,3.08213921901528
41.5,41.75,11,1.5952456140350875
41.5,41.75,12,0.664855687606112
41.5,42.0,1,2.379507640067912
41.5,42.0,2,3.143571428571429
41.5,42.0,3,3.9810526315789474
41.5,42.0,4,4.956877192982456
41.5,42.0,5,4.969032258064517
41.5,42.0,6,4.847245614035088
41.5,42.0,7,4.525280135823429
41.5,42.0,8,4.784753820033956
41.5,42.0,9,4.152894736842105
41.5,42.0,10,3.1495755517826827
41.5,42.0,11,2.253280701754386
41.5,42.0,12,2.1601188455008486
41.5,42.25,1,2.0377758913412563
41.5,42.25,2,3.5650563909774435
41.5,42.25,3,4.483548387096774
41.5,42.25,4,5.162210526315789
41.5,42.25,5,5.278675721561969
41.5,42.25,6,6.026649122807018
41.5,42.25,7,6.082359932088285
41.5,42.25,8,6.042342954159592
41.5,42.25,9,4.941684210526316
41.5,42.25,10,3.507453310696095
41.5,42.25,11,2.1739122807017544
41.5,42.25,12,1.3234634974533106
41.5,42.5,1,2.2056706281833613
41.5,42.5,2,3.298984962406015
41.5,42.5,3,4.340950764006791
41.5,42.5,4,5.239333333333334
41.5,42.5,5,5.273480475382003
41.5,42.5,6,5.659824561403509
41.5,42.5,7,5.605789473684211
41.5,42.5,8,5.621646859083192
41.5,42.5,9,4.684087719298246
41.5,42.5,10,3.2739049235993205
41.5,42.5,11,2.0922280701754383
41.5,42.5,12,1.9174533106960954
41.5,43.0,1,1.0866213921901529
41.5,43.0,2,2.371597744360902
41.5,43.0,3,3.7665025466893036
41.5,43.0,4,4.499631578947368
41.5,43.0,5,4.786977928692699
41.5,43.0,6,5.459122807017544
41.5,43.0,7,5.491222410865874
41.5,43.0,8,5.374821731748727
41.5,43.0,9,4.282614035087719
41.5,43.0,10,2.710288624787776
41.5,43.0,11,1.4671052631578947
41.5,43.0,12,0.765483870967742
41.5,43.25,1,2.0313412563667232
41.5,43.25,2,3.116823308270677
41.5,43.25,3,3.872682512733447
41.5,43.25,4,4.50040350877193
41.5,43.25,5,5.110118845500849
41.5,43.25,6,6.011122807017544
41.5,43.25,7,6.384516129032257
41.5,43.25,8,6.000780984719864
41.5,43.25,9,4.8201754385964914
41.5,43.25,10,3.4666553480475386
41.5,43.25,11,2.508508771929825
41.5,43.25,12,1.872597623089983
41.5,43.5,1,1.7452122241086587
41.5,43.5,2,2.8196052631578943
41.5,43.5,3,3.9343972835314096
41.5,43.5,4,4.4936491228070174
41.5,43.5,5,5.17062818336163
41.5,43.5,6,6.195561403508772
41.5,43.5,7,6.40088285229202
41.5,43.5,8,5.918913412563667
41.5,43.5,9,4.722947368421052
41.5,43.5,10,3.2288794567062817
41.5,43.5,11,1.9988596491228068
41.5,43.5,12,1.5496774193548386
41.5,43.75,1,1.8484040747028863
41.5,43.75,2,2.6633834586466167
41.5,43.75,3,3.696485568760611
41.5,43.75,4,4.497491228070175
41.5,43.75,5,5.179609507640068
41.5,43.75,6,6.02780701754386
41.5,43.75,7,6.3262818336162985
41.5,43.75,8,5.879354838709677
41.5,43.75,9,4.711035087719298
41.5,43.75,10,3.37427843803056
41.5,43.75,11,2.2357017543859645
41.5,43.75,12,1.5864685908319185
41.5,44.0,1,1.9931239388794568
41.5,44.0,2,2.7231015037593984
41.5,44.0,3,3.452631578947368
41.5,44.0,4,4.072684210526315
41.5,44.0,5,4.58792869269949
41.5,44.0,6,4.910561403508772
41.5,44.0,7,4.7982682512733446
41.5,44.0,8,4.8553480475382
41.5,44.0,9,3.670140350877193
41.5,44.0,10,2.988353140916808
41.5,44.0,11,2.2779122807017544
41.5,44.0,12,1.9043972835314094
41.5,44.25,1,1.0219354838709676
41.5,44.25,2,2.6712781954887217
41.5,44.25,3,3.4965195246179963
41.5,44.25,4,4.165052631578948
41.5,44.25,5,4.832410865874363
41.5,44.25,6,5.576263157894737
41.5,44.25,7,5.696112054329372
41.5,44.25,8,5.643174872665535
41.5,44.25,9,4.3334210526315795
41.5,44.25,10,2.98276740237691
41.5,44.25,11,1.5961228070175437
41.5,44.25,12,0.6602037351443124
41.5,44.5,1,1.8970797962648558
41.5,44.5,2,2.6300939849624063
41.5,44.5,3,3.4109337860780986
41.5,44.5,4,4.303614035087719
41.5,44.5,5,5.299864176570458
41.5,44.5,6,6.1661403508771935
41.5,44.5,7,6.141494057724958
41.5,44.5,8,5.739083191850595
41.5,44.5,9,4.306280701754386
41.5,44.5,10,2.890390492359932
41.5,44.5,11,2.088578947368421
41.5,44.5,12,1.7733616298811543
41.5,44.75,1,1.9191850594227506
41.5,44.75,2,2.686973684210526
41.5,44.75,3,3.6001188455008486
41.5,44.75,4,4.56422807017544
41.5,44.75,5,5.5553480475381996
41.5,44.75,6,6.400842105263157
41.5,44.75,7,6.39409168081494
41.5,44.75,8,5.932478777589134
41.5,44.75,9,4.538877192982456
41.5,44.75,10,3.033803056027165
41.5,44.75,11,2.154561403508772
41.5,44.75,12,1.7988455008488964
41.5,45.0,1,2.107640067911715
41.5,45.0,2,2.89046992481203
41.5,45.0,3,3.880050933786078
41.5,45.0,4,4.821368421052631
41.5,45.0,5,5.747826825127334
41.5,45.0,6,6.582684210526316
41.5,45.0,7,6.560831918505943
41.5,45.0,8,6.150033955857386
41.5,45.0,9,4.855649122807018
41.5,45.0,10,3.341290322580645
41.5,45.0,11,2.3820877192982457
41.5,45.0,12,2.0162308998302207
41.5,45.25,1,1.9271816638370116
41.5,45.25,2,2.6964849624060148
41.5,45.25,3,3.747283531409168
41.5,45.25,4,4.713263157894736
41.5,45.25,5,5.723480475382003
41.5,45.25,6,6.4738070175438605
41.5,45.25,7,6.383972835314092
41.5,45.25,8,5.964702886247879
41.5,45.25,9,4.608052631578947
41.5,45.25,10,3.09427843803056
41.5,45.25,11,2.208736842105263
41.5,45.25,12,1.8501528013582342
41.5,45.5,1,1.9442954159592531
41.5,45.5,2,2.692518796992481
41.5,45.5,3,3.746994906621392
41.5,45.5,4,4.736771929824561
41.5,45.5,5,5.7607130730050935
41.5,45.5,6,6.562105263157894
41.5,45.5,7,6.41993208828523
41.5,45.5,8,6.021035653650254
41.5,45.5,9,4.633561403508772
41.5,45.5,10,3.1395585738539897
41.5,45.5,11,2.2104210526315793
41.5,45.5,12,1.8337011884550085
41.5,45.75,1,1.8429541595925296
41.5,45.75,2,2.5643984962406017
41.5,45.75,3,3.6264346349745327
41.5,45.75,4,4.6553508771929835
41.5,45.75,5,5.74955857385399
41.5,45.75,6,6.576368421052631
41.5,45.75,7,6.410305602716469
41.5,45.75,8,5.9555687606112055
41.5,45.75,9,4.542929824561403
41.5,45.75,10,3.0460950764006793
41.5,45.75,11,2.1329122807017544
41.5,45.75,12,1.7413752122241086
41.5,46.0,1,2.191392190152801
41.5,46.0,2,2.8843045112781955
41.5,46.0,3,3.881171477079796
41.5,46.0,4,4.789842105263158
41.5,46.0,5,5.743870967741936
41.5,46.0,6,6.494
41.5,46.0,7,6.344719864176571
41.5,46.0,8,6.109660441426146
41.5,46.0,9,4.8
41.5,46.0,10,3.3922920203735143
41.5,46.0,11,2.6217894736842107
41.5,46.0,12,2.196451612903226
41.5,46.25,1,1.7309337860780984
41.5,46.25,2,2.4687781954887216
41.5,46.25,3,3.4897283531409165
41.5,46.25,4,4.585508771929825
41.5,46.25,5,5.668166383701188
41.5,46.25,6,6.514842105263158
41.5,46.25,7,6.29188455008489
41.5,46.25,8,5.813361629881155
41.5,46.25,9,4.487754385964911
41.5,46.25,10,2.9975891341256364
41.5,46.25,11,2.072736842105263
41.5,46.25,12,1.6031239388794567
41.75,41.75,1,1.8630050933786078
41.75,41.75,2,2.5553947368421057
41.75,41.75,3,3.1208828522920204
41.75,41.75,4,4.278754385964913
41.75,41.75,5,4.875840407470289
41.75,41.75,6,4.5308245614035085
41.75,41.75,7,4.060696095076401
41.75,41.75,8,3.9925297113752123
41.75,41.75,9,3.6496666666666666
41.75,41.75,10,3.000899830220713
41.75,41.75,11,2.272842105263158
41.75,41.75,12,1.8588285229202037
41.75,42.0,1,2.2449915110356535
41.75,42.0,2,3.1638345864661654
41.75,42.0,3,3.6331578947368417
41.75,42.0,4,4.624631578947368
41.75,42.0,5,5.227691001697793
41.75,42.0,6,5.204964912280702
41.75,42.0,7,4.750407470288624
41.75,42.0,8,5.026825127334465
41.75,42.0,9,4.554719298245614
41.75,42.0,10,3.703921901528014
41.75,42.0,11,2.7355614035087723
41.75,42.0,12,2.1927334465195245
41.75,42.25,1,2.58
41.75,42.25,2,3.4986466165413534
41.75,42.25,3,3.9578777589134124
41.75,42.25,4,4.6569824561403514
41.75,42.25,5,4.930780984719864
41.75,42.25,6,5.306736842105264
41.75,42.25,7,5.155993208828524
41.75,42.25,8,5.589694397283531
41.75,42.25,9,4.948333333333334
41.75,42.25,10,3.909779286926995
41.75,42.25,11,2.685964912280702
41.75,42.25,12,2.5469439728353143
41.75,42.5,1,2.313565365025467
41.75,42.5,2,3.344680451127819
41.75,42.5,3,4.352818336162988
41.75,42.5,4,5.088052631578948
41.75,42.5,5,5.213446519524617
41.75,42.5,6,5.632333333333334
41.75,42.5,7,5.608183361629881
41.75,42.5,8,5.78213921901528
41.75,42.5,9,4.88277192982456
41.75,42.5,10,3.4219354838709677
41.75,42.5,11,2.136052631578947
41.75,42.5,12,1.864227504244482
41.75,42.75,1,2.5245331069609507
41.75,42.75,2,3.6609774436090228
41.75,42.75,3,4.203429541595926
41.75,42.75,4,4.8505087719298245
41.75,42.75,5,5.327334465195246
41.75,42.75,6,5.847649122807017
41.75,42.75,7,6.142410865874363
41.75,42.75,8,6.140696095076401
41.75,42.75,9,5.288368421052632
41.75,42.75,10,4.078828522920204
41.75,42.75,11,2.9996842105263157
41.75,42.75,12,2.43446519524618
41.75,43.0,1,2.58981324278438
41.75,43.0,2,3.651541353383459
41.75,43.0,3,4.295857385398982
41.75,43.0,4,4.926263157894737
41.75,43.0,5,5.370611205432937
