latitude,longitude,suitability_score
41.25,43.25,0.8600000000000001
41.25,43.5,0.8900000000000001
41.25,43.75,0.96
41.25,44.0,0.52
41.25,44.25,0.61
41.25,44.5,0.1
41.25,44.75,1.0
41.25,45.75,0.72
41.25,46.0,0.0
41.25,46.25,0.0
41.25,46.5,0.53
41.5,41.75,0.0
41.5,42.0,0.0
41.5,42.25,0.59
41.5,42.5,0.0
41.5,43.0,0.0
41.5,43.25,0.94
41.5,43.5,0.8900000000000001
41.5,43.75,0.91
41.5,44.0,0.81
41.5,44.25,0.1
41.5,44.5,1.05
41.5,44.75,1.08
41.5,45.0,0.0
41.5,45.25,0.76
41.5,45.5,0.8300000000000001
41.5,45.75,0.8300000000000001
41.5,46.0,0.25
41.5,46.25,0.74
41.75,41.75,0.17
41.75,42.0,0.0
41.75,42.25,0.16
41.75,42.5,0.12
41.75,42.75,0.1
41.75,43.0,0.0
41.75,43.25,0.1
41.75,43.5,0.15
41.75,43.75,0.13
41.75,44.0,0.5900000000000001
41.75,44.25,0.13
41.75,44.5,0.16
41.75,44.75,0.9500000000000001
41.75,45.0,0.0
41.75,45.25,0.8700000000000001
41.75,45.5,0.0
41.75,45.75,0.0
41.75,46.0,0.0
42.0,42.0,0.0
42.0,42.25,0.0
42.0,42.5,0.1
42.0,42.75,0.09
42.0,43.0,0.13
42.0,43.25,0.15
42.0,43.5,0.0
42.0,43.75,0.97
42.0,44.0,1.05
42.0,44.25,0.0
42.0,44.5,1.02
42.0,44.75,0.99
42.0,45.0,0.0
42.0,45.25,1.0
42.0,45.5,1.17
42.0,45.75,0.0
42.0,46.0,0.25
42.25,41.75,0.14
42.25,42.0,0.0
42.25,42.25,0.14
42.25,42.5,0.86
42.25,42.75,0.15
42.25,43.0,1.01
42.25,43.25,0.92
42.25,43.5,0.95
42.25,43.75,0.13
42.25,44.0,0.09
42.25,44.25,0.13
42.25,44.5,0.13
42.25,44.75,0.42
42.25,45.0,0.0
42.25,45.25,0.0
42.25,45.5,0.13
42.5,41.75,0.27
42.5,42.0,0.0
42.5,42.25,0.14
42.5,42.5,0.0
42.5,42.75,0.19
42.5,43.0,0.14
42.5,43.25,0.13
42.5,43.5,0.07
42.5,43.75,0.0
42.5,44.0,0.72
42.5,44.25,0.33
42.5,44.5,0.13
42.5,44.75,0.0
42.5,45.0,0.0
42.5,45.25,0.0
42.5,45.5,0.0
42.75,41.5,0.9
42.75,41.75,0.14
42.75,42.0,0.0
42.75,42.25,0.0
42.75,42.5,0.0
42.75,42.75,0.13
42.75,43.0,0.0
42.75,43.25,0.1
42.75,43.5,0.0
42.75,43.75,0.0
43.0,41.0,1.01
43.0,41.25,0.0
43.0,41.5,0.1
43.0,41.75,0.09
43.0,42.0,0.0
43.0,42.25,0.15
43.0,42.5,0.07
43.0,42.75,0.11
43.0,43.0,0.44
43.25,40.5,0.14
43.25,40.75,0.12
43.25,41.0,0.13
43.25,41.25,0.27
43.25,41.5,0.08
43.5,40.25,0.04
43.5,40.5,0.0
